"Title","Description","Country","Budget","Total Ratio","GDO Classification","Seven Flagship Classification"
"","Improved protection for victims of gender violence.","Spain","153.4","0.22","Other","Other/Uncategorised"
"Sustainable local transport - Infrastructures end electricity refuelling chargers","The aims is to build refuelling stations for electricity in the highways (7500) and in urban areas (13755), and 10 stations with storages","Italy","750","0.39","Green","Recharge and Refuel"
"Pursue the care, protection and improvement of environmental quality through integrated management of river basins - National monitoring of environmental pollution","To align regional legislation with national about measures to reduce the GHG emissions and other polluters.","Italy","0","0","Green","Other/Uncategorised"
"Pursue the care, protection and improvement of environmental quality through integrated management of river basins - National park digitalization","To promote the digitalisation of management of national parks and marine protected areas. 1) Nature preservation, 2) Digital service for visitors, 3) Simplify the administraction","Italy","100","0.05","Digital","Modernise"
"Pursue the care, protection and improvement of environmental quality through integrated management of river basins - Po river","Re-naturation of Po river basin","Italy","360","0.19","Green","Other/Uncategorised"
"Pursue the care, protection and improvement of environmental quality through integrated management of river basins - Reclaim abandoned sites","Reclaim abandoned industrial lands","Italy","500","0.26","Green","Other/Uncategorised"
"Pursue the care, protection and improvement of environmental quality through integrated management of river basins - Seabed restoration","Mapping 90% of seabed  and restore 20% of it","Italy","400","0.21","Green","Other/Uncategorised"
"Pursue the care, protection and improvement of environmental quality through integrated management of river basins - Urban forestry","Development of urban forestry in 14 Municipality (6.6 millions trees)","Italy","330","0.17","Green","Other/Uncategorised"
"- Ports development - Apply regulation on port licenses","To define better licences regulation","Italy","0","0","Green","Recharge and Refuel"
"- Ports development - New simplified procedures for strategic plan","Update the documents DPSS and PRP","Italy","0","0","Green","Recharge and Refuel"
"- Ports development - New simplified procedures on cold-ironing plants","Simplify current regulation","Italy","0","0","Green","Recharge and Refuel"
"Circular economy and  valorisation of the integrated waste cycle -  Circular economy project","The aim is reducing the use of raw materials of which the country is lacking in industrial processes, gradually replacing them with materials produced from  scraps, residual materials and waste.","Italy","600","0.31","Green","Other/Uncategorised"
"Circular economy and  valorisation of the integrated waste cycle -  National Strategy for circular economy","Revision of current strategy (2017), adopted by June 2022 including eco-design, blue economy, raw materials, eco-products.","Italy","0","0","Green","Other/Uncategorised"
"Circular economy and  valorisation of the integrated waste cycle - National program for waste management","National program to fill the current governance gap of planning at regional level, lacking of management and know-how and to align to the new EU normative goals","Italy","0","0","Green","Other/Uncategorised"
"Circular economy and  valorisation of the integrated waste cycle - Technical support to local authority","Technical support to municipality and regions to define, plan and build a waste management plant. Support into apply the normative ""Criteri Ambientali Minimi"" during a tender","Italy","0","0","Green","Other/Uncategorised"
"Develop integrated projects - Educationa and knowledge about climate and environment challenges","Three goals: increase the knowledge, to educate about alternative and more sustainable life-style, to promote good sustainable behaviours","Italy","30","0.02","Green","Other/Uncategorised"
"Develop integrated projects - Green Communities","The aim is to allow the transition of rural a mountain areas to a sustainable use of lands, water, and woods.","Italy","140","0.07","Green","Other/Uncategorised"
"Develop integrated projects - Green Island","The aim is to allow the transition of 19 small islands to a 100% green economy. These willl be a demostration case for the buiding of a 100% green model for small communities. It plans investments in more areas as renewable power generation, electricity infrastructures, waste management, storages, hydro managment, desalination plants, urbanization and sustainable mobility","Italy","200","0.1","Green","Power Up"
"District Heating systems - Development of district heating","To develop 330 km of district heating grid and plants (for 360 MW of reuse of waste heat) (65% grid costs 35% for connections and plants). (20 ktoe primary energy saved/y - 0.04 Mton CO2/y in non-ETS sectors)","Italy","200","0.1","Green","Renovate"
"Efficiency of public buildings - Judicial towns","The aim is to restorate juridical buildings with sustainable structures (48 buildings - 0.7 ktoe saved - less 2.4 kton CO2/y)","Italy","410","0.21","Green","Renovate"
"Efficiency of public buildings - New measures on energy efficiency and requalification of public buildings","The aim is to work on the not economic barriers related to requalification of buildings","Italy","0","0","Green","Renovate"
"Efficiency of public buildings - Public schools","The aim is to restorate or build new schools with modern and sustainable structures ( 195 schools - 3.4 ktoe saved - less 8.4 kton CO2/y)","Italy","800","0.42","Green","Renovate"
"Energy efficiency and seismic_x005Fresistant private and public housing - Ecobonus and Sismabonus","To extend the Superbonus 110% program up 2023 for energy efficiency and seismic works on public and private housing (50000 building/y - 291 ktoe saved/y - less 0.93 Mton CO2)","Italy","13810","7.21","Green","Renovate"
"Enhancement of education services - Active orientation in the school university transition","Goals: to support students in their choice about university. Reduce the number of students abandoning university","Italy","250","0.13","Other","Reskill and Upskill"
"Enhancement of education services - Child care services","Requalification of child care and improve the child care offer","Italy","4600","2.4","Other","Reskill and Upskill"
"Enhancement of education services - Degree and professional register","To simplify the procedures to move from graduate to a professional register","Italy","0","0","Other","Reskill and Upskill"
"Enhancement of education services - Development and reform of ITS system","Increase: 1) the number of IT IS, 2)Laboratories, 3) Teachers education, 4) Digital platform for job offers","Italy","1500","0.78","Other","Reskill and Upskill"
"Enhancement of education services - Full-time school and canteen services fund","Increase the number of full-time schools and improve canteen services","Italy","960","0.5","Other","Reskill and Upskill"
"Enhancement of education services - Reduction of territorial disparities between I and II secondary schools","Monitoring and improving the system of secondary schools to avoid school abandon","Italy","1500","0.78","Other","Other/Uncategorised"
"Enhancement of education services - Reform of education system","Goals: to reduce the number of students for class and increase the school system dimensions","Italy","0","0","Other","Reskill and Upskill"
"Enhancement of education services - Reform of ITS","Align of ITS education with industry and university","Italy","0","0","Other","Reskill and Upskill"
"Enhancement of education services - Reform of orientation to university system","The regulatory intervention introduces modules of  formation counselling to be included within the overall annual curriculum – aimed at the fourth and fifth classes of high secondary school, in order to guide students in the conscious choice of continuation of the course of study or further vocational training (ITSs), preparatory to integration into the world of work","Italy","0","0","Other","Reskill and Upskill"
"Enhancement of education services - Scholarships and free access to the university","Increase of 700 euro the monthly scholarship, and increase the number of scholarships","Italy","500","0.26","Other","Reskill and Upskill"
"Enhancement of education services - Sport at school","Build places to do sport in the schools in schools where it is missing","Italy","300","0.16","Other","Other/Uncategorised"
"Enhancement of education services - Technical and professional education","Align professional education with the job offers","Italy","0","0","Other","Reskill and Upskill"
"Enhancement of education services - University","Reform the university faculty and programs","Italy","0","0","Other","Reskill and Upskill"
"Enhancement of education services -Student residencies","Incentivize privates to invest in the students constructions","Italy","960","0.5","Other","Reskill and Upskill"
"Ensure the security of water supply for drinking water, irrigation and industrial purposes and a reduction of water dispersion through effective, efficient and sustainable management of water resources - Monitoring and preventing","The aim is to build a national monotoring system for water resources using  systems as drones, GPS,remote sensors. Improve the cyber security of this digitalised system","Italy","500","0.26","Green","Other/Uncategorised"
"Guarantee a sustainable management of waters system and improvement of environmental quality  - Infrastructures water distribution","Infrastructure interventions on supply distribution system and related Digitization and monotorying systems","Italy","900","0.47","Digital","Other/Uncategorised"
"Guarantee a sustainable management of waters system and improvement of environmental quality  - Primary water infrastructures security of supply","Action consists in about 75 interventions throughout the national territory, concerning extraordinary maintenance, aimed at static and seismic safety, upgrading and/or completion of water infrastructures of derivation, artificial reservoirs and dams, primary supply pipelines and the reduction of water losses in the supply systems","Italy","2000","1.04","Green","Other/Uncategorised"
"Guarantee a sustainable management of waters system and improvement of environmental quality  - Resilience of irrigated agrosystem","Infrastructure interventions on networks and irrigation systems and related Digitization and monitoring systems, through the installation of technologies such as meters and remote control systems, and purification monitoring systems with potential for irrigated reuse","Italy","880","0.46","Digital","Other/Uncategorised"
